Data;ProdutoID;CanalID;PromocaoID;Preco;Volume;Receita;Custo
2023-01-01;1;1;1;5800,00;11;63800,00;45902,92
2023-01-01;1;2;1;5800,00;22;127600,00;90570,36
2023-01-01;1;3;1;5800,00;13;75400,00;51990,38
2023-01-01;2;1;1;4700,00;14;65800,00;41019,67
2023-01-01;2;2;1;4700,00;18;84600,00;56587,87
2023-01-01;2;3;1;4700,00;7;32900,00;22706,50
2023-01-01;3;1;1;3800,00;12;45600,00;31812,08
2023-01-01;3;2;1;3800,00;10;38000,00;28328,49
2023-01-01;3;3;1;3800,00;12;45600,00;33779,70
2023-01-01;4;1;1;1900,00;6;11400,00;7150,92
2023-01-01;4;2;1;1900,00;10;19000,00;13159,82
2023-01-01;4;3;1;1900,00;11;20900,00;14185,11
2023-01-01;5;1;1;1400,00;16;22400,00;13517,49
2023-01-01;5;2;1;1400,00;18;25200,00;17432,80
2023-01-01;5;3;1;1400,00;11;15400,00;9347,80
2023-01-01;6;1;1;3200,00;16;51200,00;33533,66
2023-01-01;6;2;1;3200,00;21;67200,00;41233,31
2023-01-01;6;3;1;3200,00;14;44800,00;28221,81
2023-01-01;7;1;1;1700,00;11;18700,00;13977,96
2023-01-01;7;2;1;1700,00;15;25500,00;15477,67
2023-01-01;7;3;1;1700,00;5;8500,00;5967,39
2023-01-01;8;1;1;6200,00;13;80600,00;49146,47
2023-01-01;8;2;1;6200,00;9;55800,00;41366,23
2023-01-01;8;3;1;6200,00;14;86800,00;62605,33
2023-01-01;9;1;1;9500,00;2;19000,00;11445,50
2023-01-01;9;2;1;9500,00;3;28500,00;20025,10
2023-01-01;9;3;1;9500,00;6;57000,00;40041,90
2023-01-01;10;1;1;7200,00;5;36000,00;24273,96
2023-01-01;10;2;1;7200,00;9;64800,00;40565,10
2023-01-01;10;3;1;7200,00;1;7200,00;4599,48
2023-01-01;11;1;1;4000,00;5;20000,00;12935,13
2023-01-01;11;2;1;4000,00;8;32000,00;20198,12
2023-01-01;11;3;1;4000,00;4;16000,00;10043,65
2023-01-01;12;1;1;3000,00;8;24000,00;17432,23
2023-01-01;12;2;1;3000,00;6;18000,00;13336,65
2023-01-01;12;3;1;3000,00;5;15000,00;11084,98
2023-01-01;13;1;1;3400,00;8;27200,00;20081,25
2023-01-01;13;2;1;3400,00;8;27200,00;17119,61
2023-01-01;13;3;1;3400,00;1;3400,00;2530,20
2023-01-01;14;1;1;3500,00;6;21000,00;13824,33
2023-01-01;14;2;1;3500,00;3;10500,00;7150,02
2023-01-01;14;3;1;3500,00;2;7000,00;5213,52
2023-01-01;15;1;1;7800,00;5;39000,00;26574,77
2023-01-01;15;2;1;7800,00;2;15600,00;10053,28
2023-01-01;15;3;1;7800,00;4;31200,00;19068,90
2023-01-01;16;1;1;4200,00;1;4200,00;3006,51
2023-01-01;16;2;1;4200,00;4;16800,00;10819,59
2023-01-01;16;3;1;4200,00;2;8400,00;5290,54
2023-01-01;17;1;1;6200,00;3;18600,00;13364,59
2023-01-01;17;2;1;6200,00;3;18600,00;11366,58
2023-01-01;17;3;1;6200,00;1;6200,00;3827,76
2023-01-01;18;1;1;5500,00;1;5500,00;3814,22
2023-01-01;18;2;1;5500,00;2;11000,00;6757,43
2023-01-01;18;3;1;5500,00;4;22000,00;15607,70
2023-01-01;19;1;1;1800,00;3;5400,00;3694,61
2023-01-01;19;2;1;1800,00;3;5400,00;3336,87
2023-01-01;19;3;1;1800,00;2;3600,00;2570,82
2023-01-01;20;1;1;3000,00;2;6000,00;3812,39
2023-01-01;20;2;1;3000,00;3;9000,00;6105,69
2023-01-01;20;3;1;3000,00;1;3000,00;1811,44
